Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Unemployment_rate,Inflation_rate,GDP,Status
4,3,5,2,0,15,28,13,9,22,11,21,127.3,1,0,0,1,1,0,20,0,2,0,0.0,7.3999999999999995,2,0,0,6.874999999999999,10.8,1.4,1.74,0
4,9,1,15,0,15,78,13,24,16,5,6,142.5,1,0,0,0,1,0,19,0,6,6,6.0,14.0,6,6,6,13.666666666666666,13.9,-0.3,0.79,1
4,0,5,5,0,15,28,13,10,10,19,21,124.8,1,0,0,0,1,0,19,0,6,0,0.0,7.3999999999999995,6,0,0,6.874999999999999,10.8,1.4,1.74,0
4,3,2,8,0,15,28,13,8,10,11,6,119.6,1,0,0,1,0,0,20,0,6,8,6.0,13.428571428571429,6,10,5,12.4,9.4,-0.8,-3.12,1
3,14,1,14,1,15,4,13,10,8,19,21,141.5,0,0,0,1,0,0,34,0,6,9,5.0,12.333333333333334,6,6,6,13.0,13.9,-0.3,0.79,1
3,14,1,10,1,5,43,13,10,10,19,17,114.8,0,0,1,1,1,0,34,0,5,10,5.0,11.857142857142858,5,16,5,11.5,16.2,0.3,-0.92,1
4,0,1,11,0,15,57,13,9,8,16,1,128.4,1,0,0,1,0,1,18,0,7,9,7.0,13.3,8,8,8,14.345,15.5,2.8,-4.06,1
4,4,4,15,0,15,24,13,10,10,19,21,113.1,1,0,0,0,1,0,22,0,5,5,0.0,7.3999999999999995,5,5,0,6.874999999999999,15.5,2.8,-4.06,0
4,0,3,13,0,15,48,14,24,24,19,21,129.3,0,0,0,1,0,1,21,1,6,8,6.0,13.875,6,7,6,14.142857142857142,16.2,0.3,-0.92,1
4,0,1,13,0,15,49,13,24,9,0,17,123.0,1,0,1,0,0,0,18,0,6,9,5.0,11.4,6,14,2,13.5,8.9,1.4,3.51,0
4,0,1,0,0,15,52,13,8,9,11,17,130.6,1,0,0,1,0,0,18,0,6,6,6.0,12.333333333333334,6,7,5,14.2,13.9,-0.3,0.79,1
4,0,1,11,0,15,47,13,9,8,19,21,119.3,1,0,0,1,0,1,18,0,8,8,7.0,13.214285714285714,8,8,7,13.214285714285714,12.7,3.7,-1.7,1
4,0,2,3,0,15,42,13,9,10,0,21,130.2,1,0,0,1,0,0,19,0,6,6,0.0,7.3999999999999995,6,0,0,6.874999999999999,12.7,3.7,-1.7,0
4,15,1,15,0,14,13,13,24,24,0,17,111.8,1,0,0,1,0,1,21,0,6,7,6.0,10.571428571428571,6,8,5,11.0,8.9,1.4,3.51,1
4,0,1,16,0,15,66,13,8,10,11,12,137.1,1,0,0,1,0,1,18,0,5,7,4.0,13.25,5,5,5,12.0,10.8,1.4,1.74,1
4,0,1,8,0,15,36,13,9,10,19,6,120.7,1,0,0,1,0,0,20,0,6,6,5.0,13.2,6,7,0,6.874999999999999,15.5,2.8,-4.06,0
4,3,2,11,0,15,46,13,9,24,11,0,127.3,1,0,0,1,0,0,18,0,7,8,7.0,13.30625,8,8,8,14.545,15.5,2.8,-4.06,1
4,0,1,6,0,15,48,13,16,9,5,12,136.3,1,0,0,1,0,0,20,0,5,8,4.0,12.5,5,8,4,12.25,10.8,1.4,1.74,1
4,0,3,2,0,15,28,13,24,24,19,5,120.3,0,0,0,1,0,1,21,0,2,0,0.0,7.3999999999999995,2,0,0,6.874999999999999,11.1,0.6,2.02,1
4,0,4,11,0,15,57,13,9,9,14,15,125.5,1,0,0,1,0,0,18,0,8,12,7.0,12.857142857142858,8,12,7,12.857142857142858,12.7,3.7,-1.7,1
4,0,4,0,0,15,33,13,24,8,0,17,114.9,1,0,0,1,0,1,19,0,6,8,6.0,13.375,6,7,6,12.285714285714286,11.1,0.6,2.02,1
4,0,1,11,0,15,34,13,9,9,5,17,123.9,0,0,0,1,0,0,19,0,7,8,6.0,13.296666666666669,8,9,7,14.114285714285714,11.1,0.6,2.02,1
4,3,2,13,0,15,18,13,9,8,16,5,116.4,1,0,0,1,0,0,21,0,6,9,6.0,11.375,6,9,6,13.285714285714286,16.2,0.3,-0.92,1
4,0,1,9,0,15,46,13,9,24,19,21,122.1,1,0,0,1,0,0,20,0,5,6,5.0,12.0,5,6,5,12.333333333333334,16.2,0.3,-0.92,1
4,4,1,14,1,15,49,13,9,24,19,12,134.5,1,0,0,1,0,0,19,0,6,6,6.0,12.666666666666666,6,8,6,14.375,12.4,0.5,1.79,1
4,0,1,10,1,15,39,13,15,10,5,21,131.4,0,0,0,1,1,0,34,0,5,6,5.0,12.4,5,9,5,13.428571428571429,13.9,-0.3,0.79,1
4,14,1,4,0,15,39,13,8,10,19,3,102.5,0,0,1,0,1,0,34,0,7,7,0.0,7.3999999999999995,7,7,1,10.0,8.9,1.4,3.51,0
4,14,1,7,0,2,43,13,28,10,18,20,128.8,1,0,0,1,1,0,34,0,5,0,0.0,7.3999999999999995,5,0,0,6.874999999999999,7.6,2.6,0.32,0
4,5,1,9,0,15,54,13,10,10,3,3,122.9,0,0,0,1,0,0,34,0,5,10,1.0,10.0,5,8,2,12.0,16.2,0.3,-0.92,0
0,14,1,10,1,15,26,13,9,9,19,6,113.9,1,0,0,1,0,0,34,0,5,8,5.0,11.0,5,5,5,11.6,7.6,2.6,0.32,1
4,16,1,6,0,16,26,17,20,20,5,3,120.0,0,0,1,0,0,0,20,1,6,13,3.0,11.666666666666666,6,11,3,12.0,12.4,0.5,1.79,0
4,0,5,8,0,15,34,13,16,16,17,19,121.1,0,0,1,1,0,0,18,0,6,6,4.0,12.75,5,5,0,6.874999999999999,12.7,3.7,-1.7,0
